o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority
3000001,145618,F,30175.88,1992-12-17,4-NOT SPECIFIED,Clerk#000000141,0
3000002,1481,O,297999.63,1995-07-28,1-URGENT,Clerk#000000547,0
3000003,127432,O,345438.38,1997-11-04,5-LOW,Clerk#000000488,0
3000004,47423,O,135965.53,1996-06-13,4-NOT SPECIFIED,Clerk#000000004,0
3000005,84973,F,209937.09,1992-09-12,5-LOW,Clerk#000000030,0
3000006,135136,O,140186.32,1996-09-26,1-URGENT,Clerk#000000726,0
3000007,78841,F,298655.07,1992-04-13,5-LOW,Clerk#000000871,0
3000032,124576,F,175973.90,1992-03-02,1-URGENT,Clerk#000000460,0
3000033,30247,F,4635.38,1993-11-10,1-URGENT,Clerk#000000923,0
3000034,5498,F,348308.79,1992-04-21,1-URGENT,Clerk#000000418,0
3000035,1537,O,6243.05,1997-03-08,5-LOW,Clerk#000000817,0
3000036,28564,F,46059.51,1994-03-24,5-LOW,Clerk#000000908,0
3000037,46702,O,191224.65,1998-07-22,5-LOW,Clerk#000000004,0
3000038,106394,O,108690.62,1995-08-02,3-MEDIUM,Clerk#000000112,0
3000039,4087,F,149059.48,1993-05-15,1-URGENT,Clerk#000000518,0
3000064,121798,O,60227.84,1997-11-09,2-HIGH,Clerk#000000477,0
3000065,4583,O,119144.10,1995-06-21,3-MEDIUM,Clerk#000000640,0
3000066,63059,O,50318.82,1995-06-20,5-LOW,Clerk#000000476,0
3000067,71731,O,252017.25,1995-11-29,3-MEDIUM,Clerk#000000981,0
3000068,30478,O,83440.47,1996-04-30,3-MEDIUM,Clerk#000000394,0
3000069,124780,F,204465.60,1994-01-11,1-URGENT,Clerk#000000549,0
3000070,1502,O,282985.48,1997-05-23,2-HIGH,Clerk#000000843,0
3000071,32704,O,53017.24,1996-04-28,1-URGENT,Clerk#000000617,0
3000096,50086,F,256949.58,1994-03-08,5-LOW,Clerk#000000513,0
3000097,134090,F,128591.36,1992-01-25,4-NOT SPECIFIED,Clerk#000000338,0
3000098,40955,F,204238.20,1993-03-20,1-URGENT,Clerk#000000008,0
3000099,121370,O,137195.73,1998-06-07,5-LOW,Clerk#000000571,0
3000100,1672,O,27752.50,1997-12-03,3-MEDIUM,Clerk#000000098,0
3000101,32965,F,41548.86,1993-10-31,5-LOW,Clerk#000000975,0
3000102,76229,F,84480.71,1992-07-26,1-URGENT,Clerk#000000364,0
3000103,18443,F,224386.24,1992-09-19,1-URGENT,Clerk#000000725,0
3000128,64820,O,173210.37,1996-10-01,4-NOT SPECIFIED,Clerk#000000525,0
3000129,116708,F,45573.34,1994-01-24,2-HIGH,Clerk#000000835,0
3000130,97072,O,261980.12,1997-11-04,1-URGENT,Clerk#000000577,0
3000131,61201,F,45617.23,1993-02-18,5-LOW,Clerk#000000982,0
3000132,45098,F,65123.13,1993-08-24,5-LOW,Clerk#000000660,0
3000133,2737,F,169439.03,1993-03-20,4-NOT SPECIFIED,Clerk#000000182,0
3000134,79576,F,218389.66,1995-01-28,2-HIGH,Clerk#000000472,0
3000135,11102,P,223432.46,1995-03-20,5-LOW,Clerk#000000191,0
3000160,133483,O,48537.09,1997-11-22,1-URGENT,Clerk#000000682,0
3000161,21512,F,244815.34,1994-08-12,5-LOW,Clerk#000000815,0
3000162,51400,O,9712.10,1995-09-26,4-NOT SPECIFIED,Clerk#000000556,0
3000163,24526,F,179022.52,1994-02-10,4-NOT SPECIFIED,Clerk#000000869,0
3000164,147946,O,92448.56,1997-01-19,1-URGENT,Clerk#000000408,0
3000165,107611,O,104787.96,1997-06-20,3-MEDIUM,Clerk#000000463,0
3000166,61285,O,216512.80,1995-06-29,3-MEDIUM,Clerk#000000986,0
3000167,90431,F,198027.25,1994-06-13,4-NOT SPECIFIED,Clerk#000000095,0
3000192,61987,O,140123.69,1996-05-15,3-MEDIUM,Clerk#000000084,0
3000193,55609,O,250411.63,1998-03-29,5-LOW,Clerk#000000318,0
3000194,104387,O,156088.17,1997-10-20,3-MEDIUM,Clerk#000000846,0
3000195,26449,F,57082.09,1995-03-03,3-MEDIUM,Clerk#000000189,0
3000196,50902,F,236828.04,1993-06-17,1-URGENT,Clerk#000000378,0
3000197,52552,F,95273.62,1994-08-24,3-MEDIUM,Clerk#000000171,0
3000198,17324,F,213889.60,1992-09-07,2-HIGH,Clerk#000000250,0
